name,url
GⅠフェブラリーS,http://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2017.html
GⅠ高松宮記念,http://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2017.html
GⅠ大阪杯,http://www.jra.go.jp/datafile/seiseki/g1/osaka/result/osaka2017.html
GⅠ桜花賞,http://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2017.html
J・GⅠ中山グランドジャンプ,http://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2017.html
GⅠ皐月賞,http://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2017.html
GⅠ天皇賞（春）,http://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2017.html
GⅠNHKマイルC,http://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2017.html
GⅠヴィクトリアマイル,http://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2017.html
GⅠオークス,http://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2017.html
GⅠ日本ダービー,http://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2017.html
GⅠ安田記念,http://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2017.html
GⅠ宝塚記念,http://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2017.html
GⅠスプリンターズS,http://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2017.html
GⅠ秋華賞,http://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2017.html
GⅠ菊花賞,http://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2017.html
GⅠ天皇賞（秋）,http://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2017.html
GⅠエリザベス女王杯,http://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2017.html
GⅠマイルチャンピオンシップ,http://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2017.html
GⅠジャパンC,http://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2017.html
GⅠチャンピオンズC,http://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2017.html
GⅠ阪神ジュベナイルF,http://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2017.html
GⅠ朝日杯フューチュリティS,http://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2017.html
J・GⅠ中山大障害,http://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2017.html
GⅠ有馬記念,http://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2017.html
GⅠホープフルS,http://www.jra.go.jp/datafile/seiseki/g1/hopeful/result/hopeful2017.html
