name,url
GⅢ中山金杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/001.html
GⅢ京都金杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/002.html
GⅢフェアリーS,http://www.jra.go.jp/datafile/seiseki/replay/2017/003.html
GⅢシンザン記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/004.html
GⅢ愛知杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/005.html
GⅢ京成杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/006.html
GⅡ日経新春杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/007.html
GⅡアメリカJCC,http://www.jra.go.jp/datafile/seiseki/replay/2017/008.html
GⅡ東海S,http://www.jra.go.jp/datafile/seiseki/replay/2017/009.html
GⅢ根岸S,http://www.jra.go.jp/datafile/seiseki/replay/2017/010.html
GⅢシルクロードS,http://www.jra.go.jp/datafile/seiseki/replay/2017/011.html
GⅢ東京新聞杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/012.html
GⅢきさらぎ賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/013.html
GⅢクイーンC,http://www.jra.go.jp/datafile/seiseki/replay/2017/014.html
GⅢ共同通信杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/015.html
GⅡ京都記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/016.html
GⅢダイヤモンドS,http://www.jra.go.jp/datafile/seiseki/replay/2017/017.html
GⅢ京都牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2017/018.html
GⅠフェブラリーS,http://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2017.html
GⅢ小倉大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2017/019.html
GⅢアーリントンC,http://www.jra.go.jp/datafile/seiseki/replay/2017/020.html
GⅡ中山記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/021.html
GⅢ阪急杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/022.html
GⅢオーシャンS,http://www.jra.go.jp/datafile/seiseki/replay/2017/023.html
GⅢチューリップ賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/024.html
GⅡ弥生賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/025.html
J・GⅡ阪神スプリングジャンプ,http://www.jra.go.jp/datafile/seiseki/replay/2017/026.html
GⅡ金鯱賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/027.html
GⅢ中山牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2017/028.html
GⅡフィリーズレビュー,http://www.jra.go.jp/datafile/seiseki/replay/2017/029.html
GⅢファルコンS,http://www.jra.go.jp/datafile/seiseki/replay/2017/030.html
GⅡスプリングS,http://www.jra.go.jp/datafile/seiseki/replay/2017/031.html
GⅡ阪神大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2017/032.html
GⅢフラワーC,http://www.jra.go.jp/datafile/seiseki/replay/2017/033.html
GⅡ日経賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/034.html
GⅢ毎日杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/035.html
GⅢマーチS,http://www.jra.go.jp/datafile/seiseki/replay/2017/036.html
GⅠ高松宮記念,http://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2017.html
GⅢダービー卿チャレンジT,http://www.jra.go.jp/datafile/seiseki/replay/2017/037.html
GⅠ大阪杯,http://www.jra.go.jp/datafile/seiseki/g1/osaka/result/osaka2017.html
GⅡニュージーランドT,http://www.jra.go.jp/datafile/seiseki/replay/2017/038.html
GⅡ阪神牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2017/039.html
GⅠ桜花賞,http://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2017.html
J・GⅠ中山グランドジャンプ,http://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2017.html
GⅢアンタレスS,http://www.jra.go.jp/datafile/seiseki/replay/2017/040.html
GⅠ皐月賞,http://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2017.html
GⅢ福島牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2017/041.html
GⅡフローラS,http://www.jra.go.jp/datafile/seiseki/replay/2017/042.html
GⅡマイラーズC,http://www.jra.go.jp/datafile/seiseki/replay/2017/043.html
GⅡ青葉賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/044.html
GⅠ天皇賞（春）,http://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2017.html
GⅡ京都新聞杯,http://www.jra.go.jp/datafile/seiseki/replay/2017/045.html
GⅠNHKマイルC,http://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2017.html
GⅢ新潟大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2017/046.html
GⅡ京王杯スプリングC,http://www.jra.go.jp/datafile/seiseki/replay/2017/047.html
GⅠヴィクトリアマイル,http://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2017.html
GⅢ平安S,http://www.jra.go.jp/datafile/seiseki/replay/2017/048.html
GⅠオークス,http://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2017.html
J・GⅡ京都ハイジャンプ,http://www.jra.go.jp/datafile/seiseki/replay/2017/049.html
GⅠ日本ダービー,http://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2017.html
GⅡ目黒記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/050.html
GⅢ鳴尾記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/051.html
GⅠ安田記念,http://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2017.html
GⅢエプソムC,http://www.jra.go.jp/datafile/seiseki/replay/2017/052.html
GⅢマーメイドS,http://www.jra.go.jp/datafile/seiseki/replay/2017/053.html
GⅢユニコーンS,http://www.jra.go.jp/datafile/seiseki/replay/2017/054.html
GⅢ函館スプリントS,http://www.jra.go.jp/datafile/seiseki/replay/2017/055.html
J・GⅢ東京ジャンプS,http://www.jra.go.jp/datafile/seiseki/replay/2017/056.html
GⅠ宝塚記念,http://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2017.html
GⅢラジオNIKKEI賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/057.html
GⅢCBC賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/058.html
GⅢ七夕賞,http://www.jra.go.jp/datafile/seiseki/replay/2017/059.html
GⅢプロキオンS,http://www.jra.go.jp/datafile/seiseki/replay/2017/060.html
GⅢ函館記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/061.html
GⅢ中京記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/062.html
GⅢ函館2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2017/063.html
J・GⅢ小倉サマージャンプ,http://www.jra.go.jp/datafile/seiseki/replay/2017/064.html
GⅢアイビスサマーダッシュ,http://www.jra.go.jp/datafile/seiseki/replay/2017/065.html
GⅢクイーンS,http://www.jra.go.jp/datafile/seiseki/replay/2017/066.html
GⅢレパードS,http://www.jra.go.jp/datafile/seiseki/replay/2017/067.html
GⅢ小倉記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/068.html
GⅢ関屋記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/069.html
GⅢエルムS,http://www.jra.go.jp/datafile/seiseki/replay/2017/070.html
GⅢ北九州記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/071.html
GⅡ札幌記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/072.html
J・GⅢ新潟ジャンプS,http://www.jra.go.jp/datafile/seiseki/replay/2017/073.html
GⅢ新潟2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2017/074.html
GⅢキーンランドC,http://www.jra.go.jp/datafile/seiseki/replay/2017/075.html
GⅢ札幌2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2017/076.html
GⅢ新潟記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/077.html
GⅢ小倉2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2017/078.html
GⅢ紫苑S,http://www.jra.go.jp/datafile/seiseki/replay/2017/079.html
GⅢ京成杯オータムH,http://www.jra.go.jp/datafile/seiseki/replay/2017/080.html
GⅡセントウルS,http://www.jra.go.jp/datafile/seiseki/replay/2017/081.html
J・GⅢ阪神ジャンプS,http://www.jra.go.jp/datafile/seiseki/replay/2017/082.html
GⅡローズS,http://www.jra.go.jp/datafile/seiseki/replay/2017/083.html
GⅡセントライト記念,http://www.jra.go.jp/datafile/seiseki/replay/2017/084.html
