name,url
GⅢ中山金杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/001.html
GⅢ京都金杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/002.html
GⅢフェアリーS,http://www.jra.go.jp/datafile/seiseki/replay/2018/003.html
GⅢシンザン記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/004.html
GⅢ愛知杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/005.html
GⅢ京成杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/006.html
GⅡ日経新春杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/007.html
GⅡアメリカJCC,http://www.jra.go.jp/datafile/seiseki/replay/2018/008.html
GⅡ東海S,http://www.jra.go.jp/datafile/seiseki/replay/2018/009.html
GⅢ根岸S,http://www.jra.go.jp/datafile/seiseki/replay/2018/010.html
GⅢシルクロードS,http://www.jra.go.jp/datafile/seiseki/replay/2018/011.html
GⅢ東京新聞杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/012.html
GⅢきさらぎ賞,http://www.jra.go.jp/datafile/seiseki/replay/2018/013.html
GⅢ共同通信杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/014.html
GⅡ京都記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/015.html
GⅢクイーンC,http://www.jra.go.jp/datafile/seiseki/replay/2018/016.html
GⅢダイヤモンドS,http://www.jra.go.jp/datafile/seiseki/replay/2018/017.html
GⅢ京都牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2018/018.html
GⅠフェブラリーS,http://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2018.html
GⅢ小倉大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2018/019.html
GⅡ中山記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/020.html
GⅢ阪急杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/021.html
GⅢオーシャンS,http://www.jra.go.jp/datafile/seiseki/replay/2018/022.html
GⅡチューリップ賞,http://www.jra.go.jp/datafile/seiseki/replay/2018/023.html
GⅡ弥生賞,http://www.jra.go.jp/datafile/seiseki/replay/2018/024.html
GⅢ中山牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2018/025.html
J・GⅡ阪神スプリングジャンプ,http://www.jra.go.jp/datafile/seiseki/replay/2018/026.html
GⅡフィリーズレビュー,http://www.jra.go.jp/datafile/seiseki/replay/2018/027.html
GⅡ金鯱賞,http://www.jra.go.jp/datafile/seiseki/replay/2018/028.html
GⅢフラワーC,http://www.jra.go.jp/datafile/seiseki/replay/2018/029.html
GⅢファルコンS,http://www.jra.go.jp/datafile/seiseki/replay/2018/030.html
GⅡスプリングS,http://www.jra.go.jp/datafile/seiseki/replay/2018/031.html
GⅡ阪神大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2018/032.html
GⅡ日経賞,http://www.jra.go.jp/datafile/seiseki/replay/2018/033.html
GⅢ毎日杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/034.html
GⅢマーチS,http://www.jra.go.jp/datafile/seiseki/replay/2018/035.html
GⅠ高松宮記念,http://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2018.html
GⅢダービー卿チャレンジT,http://www.jra.go.jp/datafile/seiseki/replay/2018/036.html
GⅠ大阪杯,http://www.jra.go.jp/datafile/seiseki/g1/osaka/result/osaka2018.html
GⅡニュージーランドT,http://www.jra.go.jp/datafile/seiseki/replay/2018/037.html
